seed,gamma,R2,MAE,Directional_Accuracy,SHAP_VIX_Change_Std_Normalized,SHAP_VIX_Change_Std_Rank,SHAP_Normalized_Sum,n_train,n_val,n_test
2,0.1,0.8987051312829847,0.028793044302066275,0.9106529209621993,0.7949997186660767,1,1.0,7776,1764,1746
3,0.0,-0.0008308610979868014,0.026780841914220338,0.4845360824742268,0.023387813940644264,18,1.0000001192092896,7776,1764,1746
3,0.005,0.004101948797474275,0.026967875747028632,0.5303550973654066,0.2094646394252777,1,1.0,7776,1764,1746
3,0.01,0.04393727125578062,0.027296057944137416,0.5652920962199313,0.360052227973938,1,1.0,7776,1764,1746
3,0.02,0.24031642696126498,0.027465170614838063,0.6512027491408935,0.5536615252494812,1,1.0,7776,1764,1746
3,0.05,0.6935202561450484,0.02790621955139135,0.802405498281787,0.7429484128952026,1,1.0,7776,1764,1746
3,0.1,0.8987308999723894,0.028807066172959556,0.8940435280641467,0.8380635380744934,1,1.0,7776,1764,1746
4,0.0,-0.004235291851672596,0.02660580053798477,0.49427262313860254,0.029128950089216232,11,0.9999999403953552,7776,1764,1746
4,0.005,0.009022479075562417,0.026722642144735152,0.5412371134020618,0.3468392491340637,1,0.9999999403953552,7776,1764,1746
4,0.01,0.06822806047070917,0.026810142085902516,0.5893470790378007,0.44771942496299744,1,1.0000001192092896,7776,1764,1746
4,0.02,0.26527902612606225,0.026899231915213637,0.6649484536082474,0.6014416217803955,1,1.0,7776,1764,1746
4,0.05,0.7088048149877721,0.027156123155105013,0.8218785796105383,0.8035058975219727,1,1.0,7776,1764,1746
4,0.1,0.9070844372605521,0.027381318406947193,0.9100801832760596,0.8706193566322327,1,1.0,7776,1764,1746
5,0.0,-0.003136018399089391,0.027377874097298693,0.4965635738831615,0.02727450430393219,14,0.9999999403953552,7776,1764,1746
5,0.005,0.002882240878990916,0.027476355579400574,0.5217640320733105,0.19536280632019043,1,1.0,7776,1764,1746
5,0.01,0.03512047317544331,0.027932691110154968,0.5675830469644902,0.4033055901527405,1,1.0,7776,1764,1746
5,0.02,0.2248268068757513,0.028323919557425713,0.6483390607101948,0.5273021459579468,1,1.0,7776,1764,1746
5,0.05,0.6777040894184011,0.02916923924915357,0.8150057273768614,0.7096612453460693,1,1.0,7776,1764,1746
5,0.1,0.8970400911090255,0.029352237639718726,0.9049255441008018,0.8165783882141113,1,1.0,7776,1764,1746
6,0.0,-0.004869658525544995,0.025968554507314875,0.5074455899198167,0.03899657353758812,10,0.9999999403953552,7776,1764,1746
6,0.005,0.01706219417392052,0.02610124166860832,0.5584192439862543,0.2775793969631195,1,1.0,7776,1764,1746
6,0.01,0.07998429381477534,0.026297493311085676,0.6134020618556701,0.4806641638278961,1,1.0,7776,1764,1746
6,0.02,0.2763374576028961,0.026631827330312812,0.6924398625429553,0.5726544857025146,1,0.9999999403953552,7776,1764,1746
6,0.05,0.7096276133004693,0.02726861215509419,0.8213058419243986,0.7716443538665771,1,1.0,7776,1764,1746
6,0.1,0.9041749446885425,0.028000303949407914,0.913516609392898,0.8267303109169006,1,1.0,7776,1764,1746
7,0.0,-0.0023164682503156175,0.027124905722505005,0.490836197021764,0.07997053861618042,4,0.9999998807907104,7776,1764,1746
7,0.005,0.003247751357291828,0.027313002405266937,0.5200458190148912,0.322308212518692,1,1.0000001192092896,7776,1764,1746
7,0.01,0.03293544008455862,0.027892948808441183,0.5847651775486827,0.48350247740745544,1,1.0000001192092896,7776,1764,1746
7,0.02,0.2446187301746673,0.027780317887776445,0.6597938144329897,0.5944833755493164,1,1.0,7776,1764,1746
7,0.05,0.6901711613883645,0.028325242109006943,0.8218785796105383,0.7886712551116943,1,1.0,7776,1764,1746
7,0.1,0.9006185281398569,0.028453809313108907,0.9238258877434136,0.8549467921257019,1,1.0,7776,1764,1746
8,0.0,-0.0042396591643836246,0.02685107463465937,0.5126002290950744,0.031125223264098167,12,1.0,7776,1764,1746
8,0.005,0.004178429381891502,0.02717609130346469,0.5458190148911798,0.3248956799507141,1,1.0,7776,1764,1746
8,0.01,0.06493759347429984,0.02738613009565085,0.6208476517754868,0.5157772898674011,1,1.0,7776,1764,1746
8,0.02,0.24608908483374625,0.02796591184328109,0.6901489117983963,0.6089373230934143,1,1.0,7776,1764,1746
8,0.05,0.7054701391127698,0.02777212491378882,0.843069873997709,0.7918545007705688,1,1.0,7776,1764,1746
8,0.1,0.9042468301999645,0.02815148343624008,0.915807560137457,0.8596076369285583,1,1.0000001192092896,7776,1764,1746
9,0.0,-0.0021608767563714437,0.02682441440776056,0.4879725085910653,0.04203632473945618,11,1.0,7776,1764,1746
9,0.005,0.00772235741801619,0.026940179923933175,0.5286368843069874,0.2747015655040741,1,1.0,7776,1764,1746
9,0.01,0.051848241571397224,0.027261984078471885,0.5733104238258877,0.43091100454330444,1,0.9999999403953552,7776,1764,1746
9,0.02,0.26076798930777034,0.02741574060935073,0.6615120274914089,0.5459606051445007,1,1.0,7776,1764,1746
9,0.05,0.7050303676947209,0.027705040652374845,0.8144329896907216,0.7434518933296204,1,1.0,7776,1764,1746
9,0.1,0.9037485953191683,0.028161984281887036,0.9129438717067583,0.8195558786392212,1,1.0,7776,1764,1746
